Date,Description,Amount,,,
2025-06-20,AC Repair & Gas,-7000,,,-77500
2025-01-31,Medium Subscription (Yearly),-12000,,,
2025-04-12,Claude Subscription,-5600,,,
2025-05-12,Claude Subscription,-5600,,,
2025-06-12,Claude Subscription,-5600,,,
2025-03-12,Cable TV - Optical,-1500,,,-4300
2025-01-29,Car Maintenance - Oil Change,-4500,,,
2025-01-12,Car Wash & Polish,-1500,,,
2025-01-26,Daily Bread Bakery,-850,,,
2025-02-26,Daily Bread Bakery,-950,,,
2025-03-26,Daily Bread Bakery,-900,,,
2025-04-26,Daily Bread Bakery,-850,,,
2025-05-26,Daily Bread Bakery,-800,,,
2025-06-26,Daily Bread Bakery,-750,,,
2025-01-05,Daraz Grocery Order,-2800,,,
2025-01-22,Daraz Grocery Order,-1500,,,
2025-02-05,Daraz Grocery Order,-2200,,,
2025-02-22,Daraz Grocery Order,-1900,,,
2025-03-05,Daraz Grocery Order,-3100,,,
2025-03-22,Daraz Grocery Order,-1700,,,
2025-04-05,Daraz Grocery Order,-2500,,,
2025-04-22,Daraz Grocery Order,-1300,,,
2025-05-05,Daraz Grocery Order,-2800,,,
2025-05-22,Daraz Grocery Order,-2100,,,
2025-06-05,Daraz Grocery Order,-3200,,,
2025-06-22,Daraz Grocery Order,-1600,,,
2025-01-13,Dawat Restaurant,-2400,,,
2025-02-13,Dawat Restaurant,-1800,,,
2025-03-13,Dawat Restaurant,-2100,,,
2025-04-13,Dawat Restaurant,-1600,,,
2025-05-13,Dawat Restaurant,-2800,,,
2025-06-13,Dawat Restaurant,-1900,,,
2025-03-29,Eid Shopping - Gul Ahmed,-12000,,,
2025-01-07,Fuel PSO,-3000,,,
2025-01-25,Fuel PSO,-2800,,,
2025-02-07,Fuel PSO,-3200,,,
2025-02-25,Fuel PSO,-3000,,,
2025-03-07,Fuel PSO,-3500,,,
2025-03-25,Fuel PSO,-3100,,,
2025-04-07,Fuel PSO,-3300,,,
2025-04-25,Fuel PSO,-3400,,,
2025-05-07,Fuel PSO,-3600,,,
2025-05-25,Fuel PSO,-3200,,,
2025-06-07,Fuel PSO,-3800,,,
2025-06-25,Fuel PSO,-3500,,,
2025-01-06,Imtiaz Mega Store,-5200,,,
2025-01-18,Imtiaz Mega Store,-3800,,,
2025-01-30,Imtiaz Mega Store,-6200,,,
2025-02-06,Imtiaz Mega Store,-4800,,,
2025-02-19,Imtiaz Mega Store,-4200,,,
2025-03-06,Imtiaz Mega Store,-5600,,,
2025-03-18,Imtiaz Mega Store,-3900,,,
2025-04-06,Imtiaz Mega Store,-5100,,,
2025-04-18,Imtiaz Mega Store,-4500,,,
2025-05-06,Imtiaz Mega Store,-5500,,,
2025-05-18,Imtiaz Mega Store,-4900,,,
2025-06-06,Imtiaz Mega Store,-5800,,,
2025-06-18,Imtiaz Mega Store,-5300,,,
2025-01-04,Internet Monthly (PTCL),-3500,,,
2025-02-04,Internet Monthly (PTCL),-3500,,,
2025-03-04,Internet Monthly (PTCL),-3500,,,
2025-04-04,Internet Monthly (PTCL),-3500,,,
2025-05-04,Internet Monthly (PTCL),-3500,,,
2025-06-04,Internet Monthly (PTCL),-3500,,,
2025-01-02,K-Electric Bill,-4500,,,
2025-01-15,K-Electric Bill,-4200,,,
2025-02-02,K-Electric Bill,-4800,,,
2025-02-15,K-Electric Bill,-4600,,,
2025-03-02,K-Electric Bill,-5100,,,
2025-03-15,K-Electric Bill,-4800,,,
2025-04-02,K-Electric Bill,-5500,,,
2025-04-15,K-Electric Bill,-4900,,,
2025-05-02,K-Electric Bill,-6000,,,
2025-05-15,K-Electric Bill,-5800,,,
2025-06-02,K-Electric Bill,-6500,,,
2025-06-15,K-Electric Bill,-6200,,,
2025-05-17,Medical - Blood Tests,-3000,,,
2025-01-17,Medical - Dr. Aslam Clinic,-2000,,,
2025-03-17,Medical - Eye Checkup,-2500,,,
2025-02-18,Medical - Pharmacy,-1200,,,
2025-01-16,Mobile Top-up (Jazz),-1000,,,
2025-03-16,Mobile Top-up (Jazz),-1000,,,
2025-04-16,Mobile Top-up (Jazz),-1000,,,
2025-05-16,Mobile Top-up (Jazz),-1000,,,
